user_name,message_count,reactions_count,reaction_rate_all,✍,❤,❤‍🔥,🌭,🍌,👀,👌,👍,👏,💔,💯,🔥,😁,😍,😎,😡,😢,😨,😭,😱,🙈,🤔,🤝,🤡,🤣,🤨,🤯,🥰,🥴,🫡
TOny,165,626,3.7939,2,77,3,1,1,9,4,48,0,2,89,33,207,0,1,1,63,3,9,2,0,8,11,1,34,2,0,4,0,11
Evizeon,30,108,3.6,0,0,0,0,0,0,1,10,0,0,16,1,68,0,0,0,6,0,0,0,0,2,0,0,4,0,0,0,0,0
Ilia,19,54,2.8421,0,13,0,0,0,0,0,2,0,0,9,1,22,1,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0
Олег,18,73,4.0556,0,7,0,0,0,1,0,7,5,0,11,1,30,0,0,0,5,0,1,0,0,0,0,0,5,0,0,0,0,0
Max,11,43,3.9091,0,4,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0
flire,11,50,4.5455,0,10,0,0,0,1,0,0,0,0,1,4,25,0,0,0,6,0,1,1,1,0,0,0,0,0,0,0,0,0
Alenka,8,3,0.375,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boris,4,15,3.75,0,1,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitry Leff,3,8,2.6667,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksii ( Финансы в Чехии) ⚜️,3,1,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Илья,2,15,7.5,0,12,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liarsi....,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,2,12,6.0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
Roman,2,10,5.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0
Mary Marko,2,14,7.0,0,0,0,0,0,0,0,2,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
🌲 Hengenvaara 🌲🪶🌿🦦🪹🌲,2,10,5.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VΛSWΛY,1,3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artem Fadeev,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lou,1,5,5.0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Юрий Чуйко,1,2,2.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Вова Гойхман,1,4,4.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maria Bibik,1,7,7.0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
